mass_A
t,x,y,v_{x},v_{y}
1.486666667E1,-3.753003660E0,1.504809850E-1,2.085534521E1,-0.000000000E0
1.487500000E1,-3.637140631E0,1.504809850E-1,1.853808463E1,-0.000000000E0
1.488333333E1,-3.444035583E0,1.504809850E-1,5.306526726E2,4.634521158E0
1.489166667E1,5.207070578E0,2.277230043E-1,5.260181514E2,4.634521158E0
1.490000000E1,5.322933607E0,2.277230043E-1,1.390356347E1,2.317260579E0
1.490833333E1,5.438796636E0,2.663440140E-1,1.390356347E1,2.317260579E0
1.491666667E1,5.554659665E0,2.663440140E-1,1.390356347E1,-0.000000000E0
1.492500000E1,5.670522694E0,2.663440140E-1,1.390356347E1,2.317260579E0
1.493333333E1,5.786385723E0,3.049650236E-1,1.158630289E1,2.317260579E0
1.494166667E1,5.863627742E0,3.049650236E-1,6.951781737E0,-0.000000000E0
